                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65654,                 1.3519,                  1.078,                0.70923,                0.71361,                0.77128,                0.68003,                0.49859,                 0.8775,                 1.0016,               0.003268,               0.003268,               0.003268
                     36,                0.64928,                 1.3418,                 1.0739,                0.74444,                0.69037,                0.77089,                0.68014,                 0.4956,                0.87357,                0.99949,                0.00307,                0.00307,                0.00307
                     37,                0.64247,                 1.3151,                 1.0682,                0.72935,                0.71035,                0.77487,                0.68419,                0.49363,                0.86473,                0.99803,               0.002872,               0.002872,               0.002872
                     38,                0.64284,                 1.3036,                 1.0698,                0.72183,                0.72413,                 0.7779,                0.68902,                0.48956,                0.85992,                0.99686,               0.002674,               0.002674,               0.002674
                     39,                0.63528,                 1.2863,                 1.0681,                0.75311,                 0.6908,                0.78004,                0.68986,                0.49045,                0.85675,                0.99798,               0.002476,               0.002476,               0.002476
                     40,                 0.6348,                 1.2584,                 1.0678,                0.75181,                0.70051,                0.78091,                0.69052,                0.48903,                0.85398,                0.99817,               0.002278,               0.002278,               0.002278
                     41,                0.62787,                  1.245,                 1.0631,                0.75551,                0.70564,                0.78309,                0.69379,                0.48785,                0.85107,                0.99772,                0.00208,                0.00208,                0.00208
                     42,                0.62531,                 1.2295,                 1.0644,                 0.7557,                0.70142,                0.78326,                0.69429,                0.48706,                0.85014,                0.99711,               0.001882,               0.001882,               0.001882
                     43,                0.61862,                 1.2193,                 1.0592,                 0.7336,                0.71343,                0.78369,                0.69617,                0.48335,                 0.8482,                0.99433,               0.001684,               0.001684,               0.001684
                     44,                0.61561,                  1.198,                  1.056,                0.74184,                0.71463,                0.78376,                0.69617,                0.48063,                0.84861,                0.99219,               0.001486,               0.001486,               0.001486
                     45,                0.61024,                 1.1805,                 1.0555,                  0.754,                 0.7076,                0.78361,                0.69574,                0.48069,                0.84461,                0.99271,               0.001288,               0.001288,               0.001288
                     46,                0.60619,                 1.1674,                 1.0516,                0.74178,                0.72133,                0.78535,                0.69798,                0.48006,                0.84219,                0.99206,                0.00109,                0.00109,                0.00109
                     47,                0.60597,                 1.1502,                 1.0534,                0.75145,                 0.7152,                0.78597,                0.69827,                0.48057,                0.84097,                0.99216,               0.000892,               0.000892,               0.000892
                     48,                 0.5994,                 1.1336,                 1.0508,                0.74797,                0.72004,                 0.7875,                0.70002,                0.48049,                0.83762,                0.99208,               0.000694,               0.000694,               0.000694
                     49,                0.59295,                 1.1215,                 1.0472,                0.74866,                 0.7188,                0.78818,                0.69984,                0.48079,                0.83522,                 0.9927,               0.000496,               0.000496,               0.000496
