                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.00113,                0.65414,                      1,                0.60243,               0.005149,               0.005149,               0.005149
                     51,                0.00045,                0.68421,                      1,                 0.6003,                0.00505,                0.00505,                0.00505
                     52,                0.00191,                0.69173,                      1,                0.59446,               0.004951,               0.004951,               0.004951
                     53,                0.00175,                0.68421,                      1,                0.59172,               0.004852,               0.004852,               0.004852
                     54,                0.00091,                0.66917,                      1,                0.60191,               0.004753,               0.004753,               0.004753
                     55,                0.00057,                0.65414,                      1,                0.59812,               0.004654,               0.004654,               0.004654
                     56,                0.00317,                0.69925,                      1,                0.60217,               0.004555,               0.004555,               0.004555
                     57,                0.00285,                0.67669,                      1,                0.60911,               0.004456,               0.004456,               0.004456
                     58,                0.00067,                0.65414,                      1,                0.59648,               0.004357,               0.004357,               0.004357
                     59,                 0.0012,                0.67669,                      1,                0.60173,               0.004258,               0.004258,               0.004258
                     60,                0.00053,                0.64662,                      1,                  0.611,               0.004159,               0.004159,               0.004159
                     61,                0.00029,                0.66165,                      1,                0.60799,                0.00406,                0.00406,                0.00406
                     62,                0.00033,                0.66165,                      1,                0.60411,               0.003961,               0.003961,               0.003961
                     63,                0.00025,                0.65414,                      1,                0.60507,               0.003862,               0.003862,               0.003862
                     64,                0.00028,                0.67669,                      1,                0.60207,               0.003763,               0.003763,               0.003763
                     65,                 0.0002,                0.66917,                      1,                0.59733,               0.003664,               0.003664,               0.003664
                     66,                0.00025,                0.67669,                      1,                0.59603,               0.003565,               0.003565,               0.003565
                     67,                0.00024,                0.67669,                      1,                0.59387,               0.003466,               0.003466,               0.003466
                     68,                0.00023,                0.67669,                      1,                0.59696,               0.003367,               0.003367,               0.003367
                     69,                0.00028,                0.68421,                      1,                0.59467,               0.003268,               0.003268,               0.003268
                     70,                0.00019,                0.66917,                      1,                0.59871,               0.003169,               0.003169,               0.003169
                     71,                0.00012,                0.65414,                      1,                0.60499,                0.00307,                0.00307,                0.00307
                     72,                 0.0011,                0.66917,                      1,                0.60372,               0.002971,               0.002971,               0.002971
                     73,                0.00041,                0.65414,                      1,                0.60645,               0.002872,               0.002872,               0.002872
                     74,                 0.0003,                0.64662,                      1,                0.60881,               0.002773,               0.002773,               0.002773
                     75,                0.00015,                0.64662,                      1,                0.60826,               0.002674,               0.002674,               0.002674
                     76,                0.00012,                 0.6391,                      1,                0.60919,               0.002575,               0.002575,               0.002575
                     77,                  8e-05,                0.66917,                      1,                0.60427,               0.002476,               0.002476,               0.002476
                     78,                0.00033,                0.65414,                      1,                0.60614,               0.002377,               0.002377,               0.002377
                     79,                0.00017,                0.68421,                      1,                0.60444,               0.002278,               0.002278,               0.002278
                     80,                0.00013,                0.68421,                      1,                0.60284,               0.002179,               0.002179,               0.002179
                     81,                0.00024,                0.67669,                      1,                0.60547,                0.00208,                0.00208,                0.00208
                     82,                  9e-05,                0.66917,                      1,                0.60366,               0.001981,               0.001981,               0.001981
                     83,                  6e-05,                0.66917,                      1,                0.60248,               0.001882,               0.001882,               0.001882
                     84,                  7e-05,                0.66917,                      1,                0.60437,               0.001783,               0.001783,               0.001783
                     85,                0.00013,                0.67669,                      1,                0.60305,               0.001684,               0.001684,               0.001684
                     86,                 0.0001,                0.65414,                      1,                0.60901,               0.001585,               0.001585,               0.001585
                     87,                  8e-05,                0.66165,                      1,                0.60583,               0.001486,               0.001486,               0.001486
                     88,                  5e-05,                0.67669,                      1,                0.60498,               0.001387,               0.001387,               0.001387
                     89,                  6e-05,                0.66165,                      1,                0.60329,               0.001288,               0.001288,               0.001288
                     90,                  5e-05,                0.68421,                      1,                0.60357,               0.001189,               0.001189,               0.001189
                     91,                  5e-05,                0.66917,                      1,                0.60278,                0.00109,                0.00109,                0.00109
                     92,                0.00011,                0.67669,                      1,                0.60248,               0.000991,               0.000991,               0.000991
                     93,                  8e-05,                0.66165,                      1,                 0.6047,               0.000892,               0.000892,               0.000892
                     94,                  6e-05,                0.66165,                      1,                0.60579,               0.000793,               0.000793,               0.000793
                     95,                  6e-05,                0.66165,                      1,                 0.6063,               0.000694,               0.000694,               0.000694
                     96,                0.00011,                0.66165,                      1,                0.60346,               0.000595,               0.000595,               0.000595
                     97,                  6e-05,                0.66917,                      1,                0.60667,               0.000496,               0.000496,               0.000496
                     98,                  8e-05,                0.66165,                      1,                0.60378,               0.000397,               0.000397,               0.000397
                     99,                  8e-05,                0.66165,                      1,                0.60413,               0.000298,               0.000298,               0.000298
