                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27426,                0.38346,                      1,                0.76571,               0.070181,              0.0033133,              0.0033133
                      1,                0.27259,                0.39098,                      1,                0.73586,               0.040115,              0.0065808,              0.0065808
                      2,                0.27239,                 0.4812,                      1,                0.74227,              0.0099831,              0.0097823,              0.0097823
                      3,                0.26735,                0.53383,                      1,                0.72561,               0.009703,               0.009703,               0.009703
                      4,                0.26001,                0.48872,                      1,                0.72886,               0.009703,               0.009703,               0.009703
                      5,                0.24777,                0.55639,                      1,                0.70723,               0.009604,               0.009604,               0.009604
                      6,                0.23387,                 0.6391,                      1,                0.68117,               0.009505,               0.009505,               0.009505
                      7,                 0.2213,                 0.6015,                      1,                0.68262,               0.009406,               0.009406,               0.009406
                      8,                0.20835,                 0.6391,                      1,                0.65649,               0.009307,               0.009307,               0.009307
                      9,                0.19562,                 0.6015,                      1,                0.65794,               0.009208,               0.009208,               0.009208
                     10,                0.17932,                0.61654,                      1,                0.64766,               0.009109,               0.009109,               0.009109
                     11,                0.16233,                0.57895,                      1,                0.65637,                0.00901,                0.00901,                0.00901
                     12,                0.14075,                0.56391,                      1,                0.66213,               0.008911,               0.008911,               0.008911
                     13,                0.12073,                0.62406,                      1,                0.63202,               0.008812,               0.008812,               0.008812
                     14,                0.09267,                0.63158,                      1,                0.63331,               0.008713,               0.008713,               0.008713
                     15,                0.08223,                 0.6391,                      1,                0.61747,               0.008614,               0.008614,               0.008614
                     16,                0.06356,                0.65414,                      1,                0.60256,               0.008515,               0.008515,               0.008515
                     17,                0.04281,                0.60902,                      1,                0.62834,               0.008416,               0.008416,               0.008416
                     18,                0.04304,                 0.6391,                      1,                0.61497,               0.008317,               0.008317,               0.008317
                     19,                0.03382,                0.67669,                      1,                0.59296,               0.008218,               0.008218,               0.008218
                     20,                0.03004,                 0.6391,                      1,                0.62887,               0.008119,               0.008119,               0.008119
                     21,                0.03359,                0.66917,                      1,                0.60986,                0.00802,                0.00802,                0.00802
                     22,                 0.0239,                0.59398,                      1,                0.64545,               0.007921,               0.007921,               0.007921
                     23,                0.01714,                0.60902,                      1,                0.63711,               0.007822,               0.007822,               0.007822
                     24,                0.01991,                0.65414,                      1,                0.61228,               0.007723,               0.007723,               0.007723
                     25,                0.01655,                0.65414,                      1,                0.61929,               0.007624,               0.007624,               0.007624
                     26,                 0.0126,                0.66917,                      1,                0.60746,               0.007525,               0.007525,               0.007525
                     27,                0.01024,                0.69173,                      1,                0.59379,               0.007426,               0.007426,               0.007426
                     28,                0.00738,                0.63158,                      1,                0.61975,               0.007327,               0.007327,               0.007327
                     29,                0.00597,                0.65414,                      1,                0.61359,               0.007228,               0.007228,               0.007228
                     30,                0.00483,                0.65414,                      1,                0.61827,               0.007129,               0.007129,               0.007129
                     31,                0.00635,                0.61654,                      1,                0.63875,                0.00703,                0.00703,                0.00703
                     32,                0.00591,                0.65414,                      1,                0.62321,               0.006931,               0.006931,               0.006931
                     33,                0.00578,                 0.6391,                      1,                0.62283,               0.006832,               0.006832,               0.006832
                     34,                0.00615,                0.68421,                      1,                0.59917,               0.006733,               0.006733,               0.006733
                     35,                0.00437,                0.69173,                      1,                 0.5967,               0.006634,               0.006634,               0.006634
                     36,                0.00375,                0.66165,                      1,                0.59906,               0.006535,               0.006535,               0.006535
                     37,                0.00372,                0.64662,                      1,                0.61749,               0.006436,               0.006436,               0.006436
                     38,                0.00241,                0.71429,                      1,                0.58162,               0.006337,               0.006337,               0.006337
                     39,                0.00347,                0.69925,                      1,                0.58685,               0.006238,               0.006238,               0.006238
                     40,                0.00198,                0.66917,                      1,                0.59365,               0.006139,               0.006139,               0.006139
                     41,                0.00169,                0.70677,                      1,                0.58752,                0.00604,                0.00604,                0.00604
                     42,                0.00168,                0.66917,                      1,                0.60897,               0.005941,               0.005941,               0.005941
                     43,                0.00107,                0.66165,                      1,                0.60793,               0.005842,               0.005842,               0.005842
                     44,                0.00308,                0.64662,                      1,                0.60767,               0.005743,               0.005743,               0.005743
                     45,                0.00189,                0.66917,                      1,                0.59899,               0.005644,               0.005644,               0.005644
                     46,                0.00139,                0.70677,                      1,                 0.5811,               0.005545,               0.005545,               0.005545
                     47,                0.00087,                0.68421,                      1,                0.59298,               0.005446,               0.005446,               0.005446
                     48,                0.00165,                0.69925,                      1,                0.58013,               0.005347,               0.005347,               0.005347
                     49,                0.00128,                0.70677,                      1,                0.58221,               0.005248,               0.005248,               0.005248
