                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7654,                 5.7888,                 3.5612,                0.00059,                0.00193,                0.00032,                0.00012,                 2.4482,                 4.7849,                  3.129,               0.070029,              0.0033301,              0.0033301
                      1,                 1.7312,                 4.9516,                 2.4094,                0.00511,                0.71371,                0.00893,                0.00497,                 1.6006,                 3.9935,                 2.3834,                0.03783,              0.0044645,              0.0044645
                      2,                 1.3383,                 4.3027,                 1.9665,                0.00538,                0.86398,                0.01085,                 0.0071,                 1.2497,                 3.7081,                 1.9255,              0.0034313,              0.0033989,              0.0033989
